id,name,category,description,calories,protein,carbs,fat,fiber,vitamins,minerals,source,frida_id,is_active
frida-1,"Jordbær, rå",frugt,"Jordbær, rå fra Frida DTU database",38.46,0.66,6.07,0.6,,"{""A"":6.67,""D"":0,""E"":0.41,""B1"":0,""B2"":0.011,""B3"":0.43,""Folate"":15,""C"":66.85}","{""sodium"":1,""potassium"":179,""calcium"":19,""magnesium"":12,""iron"":0.25,""zinc"":0.1,""selenium"":0.18,""phosphor"":24}",frida_dtu,1,true
frida-2,"Æble, uspec., råt",frugt,"Æble, uspec., råt fra Frida DTU database",55.06,0.27,11.32,0.23,,"{""A"":4.17,""D"":0,""E"":0.25,""B1"":0,""B2"":0.008,""B3"":0.12,""Folate"":3,""C"":8.26}","{""sodium"":1,""potassium"":118,""calcium"":4,""magnesium"":4,""iron"":0.12,""zinc"":0.02,""selenium"":0.01,""phosphor"":10}",frida_dtu,2,true
frida-3,"Banan, rå",frugt,"Banan, rå fra Frida DTU database",93.48,1.14,19.71,0.21,,"{""A"":8.83,""D"":0,""E"":0.27,""B1"":0,""B2"":0.014,""B3"":0.6,""Folate"":12,""C"":11.2}","{""sodium"":0,""potassium"":348,""calcium"":7,""magnesium"":28,""iron"":0.25,""zinc"":0.17,""selenium"":0.35,""phosphor"":26}",frida_dtu,3,true
frida-4,"Kartoffel, uspec., rå",grøntsager,"Kartoffel, uspec., rå fra Frida DTU database",77.04,2.03,17.89,0.29,,"{""A"":1.67,""D"":0,""E"":0.1,""B1"":0,""B2"":0.063,""B3"":1.6,""Folate"":10,""C"":26.37}","{""sodium"":7,""potassium"":414,""calcium"":7,""magnesium"":20,""iron"":1.03,""zinc"":0.3,""selenium"":0.27,""phosphor"":55}",frida_dtu,4,true
frida-6,"Sødmælk, konventionel (ikke-økologisk)",mejeriprodukter,"Sødmælk, konventionel (ikke-økologisk) fra Frida DTU database",63.08,3.42,4.6,3.46,,"{""A"":33.07,""D"":0.04,""E"":0.06,""B1"":0.446,""B2"":0.172,""B3"":0.09,""Folate"":4,""C"":1.2}","{""sodium"":44,""potassium"":144,""calcium"":116,""magnesium"":11,""iron"":0.02,""zinc"":0.41,""selenium"":1.64,""phosphor"":93}",frida_dtu,6,true
frida-8,"Persille, rå",andre,"Persille, rå fra Frida DTU database",48.07,3.71,1.23,1.15,,"{""A"":948.33,""D"":0,""E"":2.7,""B1"":0,""B2"":0.3,""B3"":1.7,""Folate"":41,""C"":308}","{""sodium"":64,""potassium"":641,""calcium"":185,""magnesium"":29,""iron"":3.6,""zinc"":0.46,""selenium"":0.1,""phosphor"":72}",frida_dtu,8,true
frida-9,"Pære, rå",frugt,"Pære, rå fra Frida DTU database",49.22,0.31,10.56,0.07,,"{""A"":10.83,""D"":0,""E"":0.58,""B1"":0,""B2"":0.009,""B3"":0.23,""Folate"":4,""C"":6.06}","{""sodium"":1,""potassium"":122,""calcium"":10,""magnesium"":6,""iron"":0.1,""zinc"":0.11,""selenium"":0.1,""phosphor"":11}",frida_dtu,9,true
frida-10,"Rabarber, rå",andre,"Rabarber, rå fra Frida DTU database",25.9,0.9,1.86,0.3,,"{""A"":19.67,""D"":0,""E"":0.35,""B1"":0,""B2"":0.03,""B3"":0.25,""Folate"":9,""C"":13}","{""sodium"":3,""potassium"":280,""calcium"":115,""magnesium"":12,""iron"":0.3,""zinc"":0.23,""selenium"":0.37,""phosphor"":24}",frida_dtu,10,true
frida-11,"Solbær, rå",frugt,"Solbær, rå fra Frida DTU database",75.01,1.52,9.79,1.33,,"{""A"":21.67,""D"":0,""E"":2.1,""B1"":0,""B2"":0.025,""B3"":0.3,""Folate"":15,""C"":181}","{""sodium"":3,""potassium"":337,""calcium"":59,""magnesium"":22,""iron"":0.8,""zinc"":0.29,""selenium"":1.1,""phosphor"":48}",frida_dtu,11,true
frida-12,"Yoghurt naturel, sødmælk",mejeriprodukter,"Yoghurt naturel, sødmælk fra Frida DTU database",62.18,3.79,3.63,4,,"{""A"":31.24,""D"":0.1,""E"":0,""B1"":0.22,""B2"":0.174,""B3"":0.1,""Folate"":21,""C"":0.2}","{""sodium"":46,""potassium"":146,""calcium"":132,""magnesium"":12,""iron"":0.05,""zinc"":0.49,""selenium"":1.78,""phosphor"":99}",frida_dtu,12,true
