id,name,category,description,calories,protein,carbs,fat,fiber,vitamins,minerals,source,frida_id,is_active
frida-1101,"Kødpølse  pålæg",kød,"Kødpølse  pålæg fra Frida DTU database",271.88,11.2,0.8,24.35,,"{""A"":0,""D"":0.28,""E"":0.34,""B1"":0.62,""B2"":0.13,""B3"":2.6,""B6"":0.12,""Folate"":2,""C"":75}","{""sodium"":1065,""potassium"":219,""calcium"":27,""magnesium"":17,""iron"":0.69,""zinc"":1.05,""selenium"":6.04,""phosphor"":228}",frida_dtu,1101,true
frida-1102,"Sapote  stor sapodil  rå",andre,"Sapote  stor sapodil  rå fra Frida DTU database",143.68,2.12,31.15,0.6,,"{""A"":41.67,""D"":0,""B1"":0,""B2"":0.02,""B3"":1.8,""C"":20}","{""sodium"":10,""potassium"":344,""calcium"":39,""magnesium"":30,""iron"":1,""phosphor"":28}",frida_dtu,1102,true
frida-1103,"Flæskesvær  snacks",andre,"Flæskesvær  snacks fra Frida DTU database",579.52,54,,40.33,,"{""D"":0,""B1"":0,""B2"":0.127,""B3"":1.82,""B6"":0.015,""Folate"":23}","{""sodium"":1,""potassium"":146,""calcium"":27,""magnesium"":10,""iron"":1,""zinc"":0.59,""selenium"":14,""phosphor"":96}",frida_dtu,1103,true
frida-1104,"Malakoffpølse  pålæg",andre,"Malakoffpølse  pålæg fra Frida DTU database",273.3,9.8,3.8,23.7,,"{""A"":0,""C"":0}","{""sodium"":1139,""potassium"":131,""iron"":1.37,""zinc"":1.7}",frida_dtu,1104,true
frida-1105,"Makrel  filet  naturel  konserves",fisk,"Makrel  filet  naturel  konserves fra Frida DTU database",224,19.03,,16.43,,"{""A"":22.17,""D"":2.7,""E"":0.9,""B1"":7.693,""B2"":0.16,""B3"":6.6,""B6"":0.25,""Folate"":3,""C"":0.18}","{""sodium"":590,""potassium"":315,""calcium"":15,""magnesium"":24,""iron"":1.1,""zinc"":1.6,""selenium"":36,""phosphor"":220}",frida_dtu,1105,true
frida-1106,"Ribbensstegssandwich",kød,"Ribbensstegssandwich fra Frida DTU database",277.1,12.3,24.4,14.1,,"{}","{""sodium"":366,""potassium"":217,""zinc"":1.6}",frida_dtu,1106,true
frida-1107,"Cacaoskummetmælk",mejeriprodukter,"Cacaoskummetmælk fra Frida DTU database",58.17,4,9.3,0.49,,"{""A"":4.33,""D"":0.01,""E"":0.01,""B1"":0.087,""B2"":0.164,""B3"":0.13,""B6"":0.017,""Folate"":4,""C"":0}","{""sodium"":37,""potassium"":178,""calcium"":108,""magnesium"":16,""iron"":0.36,""zinc"":0.44,""selenium"":1.35,""phosphor"":91}",frida_dtu,1107,true
frida-1108,"Cacaoskummetmælk (UHT)",mejeriprodukter,"Cacaoskummetmælk (UHT) fra Frida DTU database",59.29,3.6,9.26,0.5,,"{""A"":4.33,""D"":0.01,""E"":0.01,""B1"":0.05,""B2"":0.164,""B3"":0.14,""B6"":0.027,""Folate"":4,""C"":0}","{""sodium"":45,""potassium"":211,""calcium"":119,""magnesium"":22,""iron"":0.03,""zinc"":0.5,""selenium"":1.3,""phosphor"":98}",frida_dtu,1108,true
frida-1109,"Oksekød  højrebsfilet med kappe  rå",kød,"Oksekød  højrebsfilet med kappe  rå fra Frida DTU database",,,,,,"{}","{}",frida_dtu,1109,true
frida-1110,"Camembert  30+",andre,"Camembert  30+ fra Frida DTU database",199,25,,11,,"{""A"":101,""D"":0.14,""E"":0.28,""B1"":1.13,""B2"":0.45,""B3"":1.8,""B6"":0.25,""Folate"":62,""C"":0}","{""sodium"":1297,""potassium"":187,""calcium"":720,""magnesium"":20,""iron"":0.18,""zinc"":2.38,""selenium"":8.5,""phosphor"":370}",frida_dtu,1110,true
