id,name,category,description,calories,protein,carbs,fat,fiber,vitamins,minerals,source,frida_id,is_active
frida-608,"Cod, liver, raw",fisk,"Cod, liver, raw fra Frida DTU database",623.8,5.1,1,66.6,,"{""A"":5100,""D"":100,""E"":20,""B1"":0.1,""B2"":0.65,""B3"":2.5,""Folate"":300,""C"":4}","{""sodium"":589,""potassium"":130,""calcium"":10,""magnesium"":8,""iron"":4,""zinc"":1.94,""selenium"":63.5,""phosphor"":100}",frida_dtu,608,true
frida-610,"Nectarine, raw",andre,"Nectarine, raw fra Frida DTU database",41.87,0.8,8.23,,,"{""A"":25,""D"":0,""E"":0.66,""B1"":0.007,""B2"":0.002,""B3"":0.62,""Folate"":5,""C"":3.14}","{""sodium"":0,""potassium"":214,""calcium"":7,""magnesium"":9,""iron"":0.14,""zinc"":0.12,""selenium"":0.09,""phosphor"":24}",frida_dtu,610,true
frida-611,"Pike, raw",andre,"Pike, raw fra Frida DTU database",89.6,19,,1.2,,"{""A"":0,""D"":0.9,""E"":0.7,""B1"":0.08,""B2"":0,""B3"":1.5,""C"":3}","{""sodium"":53,""potassium"":368,""calcium"":50,""magnesium"":29,""iron"":0.3,""zinc"":0.96,""selenium"":5.42,""phosphor"":240}",frida_dtu,611,true
frida-612,"Salad dressing, oil and vinegar, low calorie",fedtstoffer,"Salad dressing, oil and vinegar, low calorie fra Frida DTU database",48.7,0.26,9.16,1.5,,"{""A"":0,""D"":0,""E"":0.3,""B1"":0,""B2"":0,""B3"":0,""Folate"":0,""C"":0}","{""sodium"":1140,""potassium"":6,""calcium"":12,""magnesium"":6,""iron"":0,""zinc"":0,""selenium"":0,""phosphor"":2}",frida_dtu,612,true
frida-614,"Squash, all varieties, raw",andre,"Squash, all varieties, raw fra Frida DTU database",16.6,1.61,2.2,0.2,,"{""A"":23.33,""D"":0,""E"":0.1,""B1"":0.026,""B2"":0.142,""B3"":0.49,""Folate"":48,""C"":17}","{""sodium"":5,""potassium"":274,""calcium"":29,""magnesium"":19,""iron"":0.61,""zinc"":0,""selenium"":0.24,""phosphor"":38}",frida_dtu,614,true
frida-615,"Wheat bread, with whole kernels",kornprodukter,"Wheat bread, with whole kernels fra Frida DTU database",231.4,6.9,41,2.6,,"{""A"":0,""B1"":0.4,""B2"":0.3,""B3"":1.35}","{""sodium"":608,""potassium"":270,""calcium"":225,""magnesium"":52,""iron"":4.52,""zinc"":1.36,""selenium"":2.4}",frida_dtu,615,true
frida-616,"Avocado, raw",andre,"Avocado, raw fra Frida DTU database",155,1.62,1.1,15.06,4.13,"{""A"":11.17,""D"":0,""E"":1.94,""B1"":0.044,""B2"":0.109,""B3"":1.22,""Folate"":31,""C"":2.87}","{""sodium"":2,""potassium"":434,""calcium"":15,""magnesium"":29,""iron"":0.47,""zinc"":0.54,""selenium"":0,""phosphor"":45}",frida_dtu,616,true
frida-617,"Wheat bran",andre,"Wheat bran fra Frida DTU database",291.3,16.15,24.54,5.3,,"{""A"":0,""D"":0,""E"":1.6,""B1"":0.89,""B2"":0.36,""B3"":29.6,""Folate"":140,""C"":0}","{""sodium"":28,""potassium"":1340,""calcium"":75,""magnesium"":480,""iron"":19,""zinc"":7.7,""selenium"":6.8,""phosphor"":1055}",frida_dtu,617,true
frida-621,"Beet, red, canned",andre,"Beet, red, canned fra Frida DTU database",60.3,1,11.97,0.3,,"{""A"":1.17,""D"":0,""E"":0.08,""B1"":0.01,""B2"":0.04,""B3"":0.16,""Folate"":69,""C"":4.1}","{""sodium"":194,""potassium"":330,""calcium"":23,""magnesium"":15,""iron"":0.7,""zinc"":0.31,""selenium"":0.2,""phosphor"":24}",frida_dtu,621,true
frida-622,"Lentils, brown, dried, raw",bælgfrugter,"Lentils, brown, dried, raw fra Frida DTU database",336.4,25,46,2,,"{}","{""sodium"":1,""calcium"":70,""iron"":6.51,""phosphor"":373}",frida_dtu,622,true
frida-624,"Tomato, imported, ripe, raw",grøntsager,"Tomato, imported, ripe, raw fra Frida DTU database",32.6,1.1,3.17,0.4,,"{""A"":165.33,""D"":0,""E"":0.5,""B1"":0.043,""B2"":0.016,""B3"":0.73,""Folate"":31,""C"":18}","{""sodium"":13,""potassium"":252,""calcium"":7,""magnesium"":11,""iron"":0.24,""zinc"":0.09,""selenium"":0.2,""phosphor"":27}",frida_dtu,624,true
frida-625,"Lobster, boiled",fedtstoffer,"Lobster, boiled fra Frida DTU database",89.5,18.7,,1.5,,"{""A"":0,""D"":0,""E"":2,""B1"":0.05,""B2"":0.02,""B3"":2,""Folate"":7,""C"":0}","{""sodium"":1240,""potassium"":135,""calcium"":85,""magnesium"":47,""iron"":0.8,""zinc"":1.8,""selenium"":38.12,""phosphor"":192}",frida_dtu,625,true
frida-626,"Lobster, canned",andre,"Lobster, canned fra Frida DTU database",89.5,18.7,,2,,"{""A"":0,""D"":0,""E"":2.2,""B1"":0.05,""B2"":0.02,""B3"":1.5,""Folate"":7,""C"":0}","{""sodium"":1,""potassium"":135,""calcium"":85,""magnesium"":47,""iron"":0.8,""zinc"":1.8,""selenium"":38.12,""phosphor"":192}",frida_dtu,626,true
frida-627,"Butterhead lettuce (US), cabbage lettuce (UK), raw",grøntsager,"Butterhead lettuce (US), cabbage lettuce (UK), raw fra Frida DTU database",13.95,1.28,2.15,0.35,,"{""A"":240,""D"":0,""E"":0.3,""B1"":0.08,""B2"":0.1,""B3"":0.5,""Folate"":24,""C"":9}","{""sodium"":18,""potassium"":320,""calcium"":52,""magnesium"":17,""iron"":0.65,""zinc"":0.51,""selenium"":0.1,""phosphor"":39}",frida_dtu,627,true
frida-628,"Margarine, 70 % fat, table use, soft, vegetable fat",grøntsager,"Margarine, 70 % fat, table use, soft, vegetable fat fra Frida DTU database",681,0.8,,70.6,,"{""A"":840,""D"":0,""E"":32.5,""B1"":0.01,""B2"":0.025,""B3"":0.02,""Folate"":2,""C"":0}","{""sodium"":550,""potassium"":38,""calcium"":10,""magnesium"":2,""iron"":0.09,""zinc"":0,""selenium"":0,""phosphor"":23}",frida_dtu,628,true
frida-629,"Cabbage, red, canned",grøntsager,"Cabbage, red, canned fra Frida DTU database",75.2,1,5.1,0.2,,"{""A"":4.17,""D"":0,""E"":0.07,""B1"":0.065,""B2"":0.05,""B3"":0.6,""Folate"":23,""C"":20}","{""sodium"":300,""potassium"":100,""calcium"":39,""magnesium"":6,""iron"":0.83,""zinc"":0.55,""selenium"":0.3,""phosphor"":29}",frida_dtu,629,true
frida-630,"Lychee, raw",andre,"Lychee, raw fra Frida DTU database",70.8,0.83,15.2,0.44,,"{""A"":0,""D"":0,""B1"":0.011,""B2"":0.065,""B3"":0.6,""C"":71.5}","{""sodium"":1,""potassium"":171,""calcium"":5,""magnesium"":10,""iron"":0.31,""zinc"":0.07,""phosphor"":31}",frida_dtu,630,true
frida-631,"Pizza, frozen, average values",andre,"Pizza, frozen, average values fra Frida DTU database",189.5,8.9,23.8,6.1,,"{""B1"":0.22,""B2"":0.14,""B3"":0.57,""C"":9.3}","{""sodium"":361,""potassium"":194,""calcium"":160,""magnesium"":19,""iron"":1.73,""zinc"":1.15}",frida_dtu,631,true
frida-632,"Pomegranate, raw",andre,"Pomegranate, raw fra Frida DTU database",67.18,0.95,13.67,0.3,,"{""A"":0,""D"":0,""B1"":0,""B2"":0.03,""B3"":0.3,""Folate"":10,""C"":6.1}","{""sodium"":3,""potassium"":259,""calcium"":3,""magnesium"":3,""iron"":0.3,""zinc"":0.2,""selenium"":1,""phosphor"":8}",frida_dtu,632,true
frida-633,"Guava, common, raw",andre,"Guava, common, raw fra Frida DTU database",42.43,0.88,3.93,0.46,,"{""A"":4.17,""D"":0,""B1"":0.037,""B2"":0.04,""B3"":1.08,""C"":176}","{""sodium"":2,""potassium"":198,""calcium"":10,""magnesium"":10,""iron"":0.26,""zinc"":0.19,""phosphor"":40}",frida_dtu,633,true
frida-634,"Spotted wolffish, fillet, raw",fisk,"Spotted wolffish, fillet, raw fra Frida DTU database",107.2,16,,4.8,,"{""A"":18,""D"":1.3,""E"":2.4,""B1"":0.18,""B2"":0.045,""B3"":2.5,""Folate"":1,""C"":0}","{""sodium"":105,""potassium"":282,""calcium"":35,""magnesium"":25,""iron"":1,""phosphor"":180}",frida_dtu,634,true
frida-635,"Mussels, in water, canned",andre,"Mussels, in water, canned fra Frida DTU database",102.68,17.83,,3,,"{""A"":21.1,""D"":0,""E"":3.5,""B1"":0.01,""B2"":0.11,""B3"":1,""Folate"":27,""C"":0}","{""sodium"":880,""potassium"":98,""calcium"":57,""magnesium"":42,""iron"":8.44,""zinc"":3.56,""selenium"":57.2,""phosphor"":189}",frida_dtu,635,true
frida-636,"Cape gooseberries, raw",andre,"Cape gooseberries, raw fra Frida DTU database",51.34,1.9,7.21,0.7,,"{""A"":121.67,""D"":0,""B1"":0.11,""B2"":0.04,""B3"":2.8,""C"":11}","{""sodium"":1,""calcium"":9,""iron"":0.43,""zinc"":0,""selenium"":2,""phosphor"":40}",frida_dtu,636,true
frida-637,"Cheese, unripened, smoked, 10 % fat",mejeriprodukter,"Cheese, unripened, smoked, 10 % fat fra Frida DTU database",129.55,8.63,2.77,9.13,,"{""A"":99.5,""D"":0.15,""E"":0.24,""B1"":0.03,""B2"":0.253,""B3"":0.21,""Folate"":2,""C"":1}","{""sodium"":235,""potassium"":115,""calcium"":89,""magnesium"":9,""iron"":0.03,""zinc"":0.37,""selenium"":3.3,""phosphor"":121}",frida_dtu,637,true
frida-639,"Bream, raw",andre,"Bream, raw fra Frida DTU database",107.6,16.7,,4,,"{""A"":14,""D"":5.5,""E"":1.3,""B1"":0.07,""B2"":0.07,""B3"":4,""C"":0}","{""sodium"":43,""potassium"":350,""calcium"":63,""magnesium"":26,""iron"":0.44,""zinc"":0.42,""selenium"":24,""phosphor"":210}",frida_dtu,639,true
frida-641,"Heart, beef, raw",kød,"Heart, beef, raw fra Frida DTU database",102.56,17.72,0.7,3.08,,"{""A"":0,""D"":1,""E"":0.2,""B1"":0.335,""B2"":0.75,""B3"":7.5,""Folate"":2,""C"":2}","{""sodium"":95,""potassium"":240,""calcium"":4,""magnesium"":17,""iron"":4.2,""zinc"":1.4,""selenium"":14,""phosphor"":214}",frida_dtu,641,true
frida-643,"Pak choi (bok choy), raw",andre,"Pak choi (bok choy), raw fra Frida DTU database",14.52,1.5,1.9,0.2,,"{""A"":300,""D"":0,""B1"":0.04,""B2"":0.07,""B3"":0.5,""Folate"":66,""C"":45}","{""sodium"":65,""potassium"":252,""calcium"":105,""magnesium"":19,""iron"":0.8,""zinc"":0.19,""phosphor"":37}",frida_dtu,643,true
frida-644,"Heart, pork, raw",kød,"Heart, pork, raw fra Frida DTU database",101.91,16.04,0.4,4.19,,"{""A"":6,""D"":0.09,""E"":0.2,""B1"":0.44,""B2"":1,""B3"":6.5,""Folate"":1,""C"":3}","{""sodium"":107,""potassium"":298,""calcium"":5,""magnesium"":21,""iron"":6,""zinc"":2.1,""selenium"":12.1,""phosphor"":204}",frida_dtu,644,true
frida-646,"Rye bread, dark with high fat seeds and whole kernels, industrially produced",fedtstoffer,"Rye bread, dark with high fat seeds and whole kernels, industrially produced fra Frida DTU database",215.1,5.67,33.22,4.53,,"{""A"":0,""D"":0,""E"":0.2,""B1"":0.209,""B2"":0.069,""B3"":0.88,""Folate"":27.73,""C"":0}","{""sodium"":425,""potassium"":257,""calcium"":32,""magnesium"":63,""iron"":2,""zinc"":1.59,""selenium"":2.81,""phosphor"":178}",frida_dtu,646,true
frida-647,"Walnuts, dried",nødder,"Walnuts, dried fra Frida DTU database",693,14.07,2.82,64.63,6,"{""A"":0,""D"":0,""E"":0.89,""B1"":0.252,""B2"":0.164,""B3"":0.56,""Folate"":123,""C"":1.3}","{""sodium"":0,""potassium"":380,""calcium"":83,""magnesium"":142,""iron"":2.29,""zinc"":2.7,""selenium"":1.2,""phosphor"":369}",frida_dtu,647,true
frida-649,"Asparagus, canned",andre,"Asparagus, canned fra Frida DTU database",16.3,1.74,1.17,0.1,,"{""A"":82.17,""D"":0,""E"":0.25,""B1"":0.03,""B2"":0.04,""B3"":0.3,""Folate"":59,""C"":18.4}","{""sodium"":288,""potassium"":111,""calcium"":16,""magnesium"":7,""iron"":0.35,""zinc"":0.44,""selenium"":0.2,""phosphor"":27}",frida_dtu,649,true
frida-650,"Garlic, dried, powder",andre,"Garlic, dried, powder fra Frida DTU database",345,16.8,64,0.8,,"{""A"":0,""D"":0,""B1"":0.466,""B2"":0.152,""B3"":0.69,""C"":3.58}","{""sodium"":26,""potassium"":1101,""calcium"":80,""magnesium"":58,""iron"":2.75,""zinc"":2.63,""selenium"":1,""phosphor"":417}",frida_dtu,650,true
