id,name,category,description,calories,protein,carbs,fat,fiber,vitamins,minerals,source,frida_id,is_active
"frida-731","Cream pastry, marzipan- and cocoa-covered","mejeriprodukter","Cream pastry, marzipan- and cocoa-covered fra Frida DTU database",373.53,5.19,54.97,14.65,0.5,"{'A':45.67,'E':0.7}","{'sodium':88,'potassium':94,'calcium':59,'magnesium':24,'iron':0.88,'zinc':0.62}","frida_dtu","731",true
"frida-732","Turkey, flesh only, raw","kød","Turkey, flesh only, raw fra Frida DTU database",105.16,21.27,,2.23,,"{'A':0,'D':0,'E':0.2,'B1':0.09,'B2':0.16,'B3':7.9,'Folate':11,'C':0}","{'sodium':93,'potassium':230,'calcium':10,'magnesium':21,'iron':0.77,'zinc':2.6,'selenium':9.9,'phosphor':150}","frida_dtu","732",true
"frida-734","Pork, ham, silverside (M. Semitendinosus), lean, raw","kød","Pork, ham, silverside (M. Semitendinosus), lean, raw fra Frida DTU database",117.3,19.33,,4.44,,"{'A':0,'D':0.09,'E':0.1,'B1':0.81,'B2':0.21,'B3':3.3,'Folate':1.5,'C':0}","{'sodium':66,'potassium':280,'calcium':6,'magnesium':18,'iron':0.66,'zinc':3.6,'selenium':6.9,'phosphor':175}","frida_dtu","734",true
"frida-735","Loganberries, frozen","andre","Loganberries, frozen fra Frida DTU database",50.35,1.52,7.7,0.31,5,"{'A':4,'D':0,'B1':0.05,'B2':0,'B3':1,'Folate':26,'C':15}","{'sodium':1,'potassium':145,'calcium':26,'magnesium':21,'iron':0.64,'zinc':0.34,'phosphor':26}","frida_dtu","735",true
"frida-736","Rye bread, with siftings (soft) and high fat seeds, industrially produced","fedtstoffer","Rye bread, with siftings (soft) and high fat seeds, industrially produced fra Frida DTU database",228.06,6.45,34.8,5.17,7.69,"{'A':0,'D':0,'E':0.2,'B1':0.242,'B2':0.075,'B3':1.14,'Folate':30.85,'C':0}","{'sodium':473,'potassium':247,'calcium':40,'magnesium':63,'iron':1.67,'zinc':1.47,'selenium':4.62,'phosphor':168}","frida_dtu","736",true
"frida-737","Lump, lumpsucker, raw","andre","Lump, lumpsucker, raw fra Frida DTU database",168.2,9.8,,14.2,,"{'A':11,'D':3.9,'B1':0.07,'B2':0.08,'B3':2,'C':0}","{'sodium':69,'potassium':485,'calcium':20,'iron':0.5,'selenium':16.5,'phosphor':203}","frida_dtu","737",true
"frida-738","Duck, breast, flesh only, raw","andre","Duck, breast, flesh only, raw fra Frida DTU database",116.3,19.4,,4.3,,"{'A':16,'D':0.4,'E':0.06,'B1':0.42,'B2':0.31,'B3':3.4,'Folate':48,'C':6}","{'sodium':57,'potassium':270,'calcium':3,'magnesium':22,'iron':4.5,'zinc':0.74,'selenium':20,'phosphor':186}","frida_dtu","738",true
"frida-739","Pork, loin, lean, raw","kød","Pork, loin, lean, raw fra Frida DTU database",106.46,22.34,,1.9,,"{'A':0,'D':0.08,'E':0.1,'B1':0.81,'B2':0.195,'B3':3.9,'Folate':2.1,'C':0}","{'sodium':83,'potassium':400,'calcium':7,'magnesium':26,'iron':0.71,'zinc':3.6,'selenium':6.9,'phosphor':195}","frida_dtu","739",true
"frida-740","Onions, spring, raw","grøntsager","Onions, spring, raw fra Frida DTU database",33.19,1.83,3,0.19,2.6,"{'A':500,'D':0,'B1':0.055,'B2':0.08,'B3':0.53,'Folate':64,'C':22.1}","{'sodium':16,'potassium':276,'calcium':72,'magnesium':20,'iron':1.48,'zinc':0,'selenium':0.6,'phosphor':37}","frida_dtu","740",true
"frida-742","Liver, ox, raw","andre","Liver, ox, raw fra Frida DTU database",121.97,20.3,5,3.04,,"{'A':15658.5,'D':0.13,'E':0.42,'B1':0.17,'B2':3,'B3':17,'Folate':220,'C':23}","{'sodium':65,'potassium':300,'calcium':4,'magnesium':21,'iron':6.05,'zinc':3.7,'selenium':37.4,'phosphor':348}","frida_dtu","742",true
"frida-743","Pork, loin fillet, smoked","kød","Pork, loin fillet, smoked fra Frida DTU database",112.41,19.4,,3.76,,"{'A':0,'D':0.09,'E':0.33,'B1':1.04,'B2':0.105,'B3':7.7,'Folate':0.66,'C':27}","{'sodium':1725,'potassium':357,'calcium':5,'magnesium':24,'iron':0.4,'zinc':1.28,'selenium':8.8,'phosphor':326}","frida_dtu","743",true
"frida-744","Pastry, napoleon hat","andre","Pastry, napoleon hat fra Frida DTU database",485,6.4,52.7,27,2.8,"{'A':220,'D':0.2,'E':4.8,'B1':0.1,'B2':0.1,'B3':2.2,'Folate':18,'C':0}","{'sodium':132,'potassium':140,'calcium':24,'magnesium':38,'iron':1,'zinc':0.7,'selenium':3.7,'phosphor':105}","frida_dtu","744",true
"frida-745","Wheat bread, with coarse meal, for toasting, industrially produced","kornprodukter","Wheat bread, with coarse meal, for toasting, industrially produced fra Frida DTU database",255.56,8.38,45.49,3.18,4.09,"{'A':0,'D':0,'E':0.5,'B1':0.177,'B2':0.063,'B3':1.72,'Folate':30.47,'C':0}","{'sodium':430,'potassium':140,'calcium':48,'magnesium':27,'iron':1.17,'zinc':0.85,'selenium':2.38,'phosphor':110}","frida_dtu","745",true
"frida-746","Pork, ham, silverside (M. Biceps Femoris), lean, raw","kød","Pork, ham, silverside (M. Biceps Femoris), lean, raw fra Frida DTU database",115.5,20.21,,3.85,,"{'A':0,'D':0.09,'E':0.1,'B1':0.81,'B2':0,'B3':3.3,'Folate':1.5,'C':0}","{'sodium':66,'potassium':280,'calcium':6,'magnesium':18,'iron':0.66,'zinc':3.6,'selenium':6.9,'phosphor':175}","frida_dtu","746",true
"frida-747","Liver, duck, raw","andre","Liver, duck, raw fra Frida DTU database",130.8,18.74,4,5,,"{'A':11984,'D':2.75,'B1':0.562,'B2':0.892,'B3':6.5,'Folate':738,'C':4.5}","{'sodium':77,'potassium':240,'calcium':11,'magnesium':20,'iron':30.53,'zinc':3.07,'selenium':123.9,'phosphor':269}","frida_dtu","747",true
"frida-748","Marzipanproduct, chocolatecover, average values","andre","Marzipanproduct, chocolatecover, average values fra Frida DTU database",525.94,4.9,52,29.5,2.5,"{'A':2,'D':0,'E':8.4,'B1':0.09,'B2':0.3,'B3':1.3,'Folate':21,'C':0}","{'sodium':19,'potassium':280,'calcium':87,'magnesium':99,'iron':1.5,'zinc':1.2,'selenium':1,'phosphor':195}","frida_dtu","748",true
"frida-749","Pork, saddle, smoked, raw","kød","Pork, saddle, smoked, raw fra Frida DTU database",120.58,18.4,,4.75,,"{'A':0,'D':0.09,'E':0.1,'B1':1,'B2':0,'B3':4,'Folate':3.92,'C':0}","{'sodium':1540,'potassium':317,'calcium':5,'magnesium':26,'iron':0.55,'zinc':1.39,'selenium':10.8,'phosphor':241}","frida_dtu","749",true
"frida-750","Pork, saddle, smoked, boiled","kød","Pork, saddle, smoked, boiled fra Frida DTU database",119.38,18.4,,4.75,,"{'A':0,'D':0.09,'E':0.14,'B1':0.87,'B2':0.109,'B3':5.6,'Folate':1.5,'C':40}","{'sodium':1540,'potassium':317,'calcium':5,'magnesium':22,'iron':0.52,'zinc':1.39,'selenium':10.37,'phosphor':301}","frida_dtu","750",true
"frida-751","Tuna, in tomato sauce, canned","grøntsager","Tuna, in tomato sauce, canned fra Frida DTU database",117,17.2,3.77,4,,"{'A':372,'D':2.81,'E':1.2,'B1':0,'B2':0.062,'B3':10.1,'Folate':7,'C':0}","{'sodium':307,'potassium':350,'calcium':9,'magnesium':27,'iron':1.2,'zinc':1.8,'selenium':68,'phosphor':164}","frida_dtu","751",true
"frida-752","Cabbage, savoy, raw","grøntsager","Cabbage, savoy, raw fra Frida DTU database",27.1,2,2.9,0.1,3.1,"{'A':100,'D':0,'E':0.6,'B1':0.07,'B2':0.03,'B3':0.19,'Folate':80,'C':57.5}","{'sodium':28,'potassium':230,'calcium':35,'magnesium':28,'iron':0.4,'zinc':0.27,'selenium':3.8,'phosphor':42}","frida_dtu","752",true
"frida-753","Asparagus, all types, raw","andre","Asparagus, all types, raw fra Frida DTU database",22.68,1.93,1.17,0.27,1.8,"{'A':5,'D':0,'E':0.3,'B1':0.11,'B2':0.09,'B3':1,'Folate':58,'C':12}","{'sodium':6,'potassium':202,'calcium':20,'magnesium':9,'iron':0.5,'zinc':0.44,'selenium':1,'phosphor':52}","frida_dtu","753",true
"frida-754","Chicken, breast, boiled, sliced","kød","Chicken, breast, boiled, sliced fra Frida DTU database",112.64,20.6,,3.2,,"{'A':0,'D':0,'E':0.31,'B1':0.33,'B2':0.084,'B3':9.1,'Folate':17,'C':51}","{'sodium':1120,'potassium':378,'calcium':13,'magnesium':28,'iron':0.42,'zinc':0.59,'selenium':11,'phosphor':225}","frida_dtu","754",true
"frida-756","Lemon peel, raw","andre","Lemon peel, raw fra Frida DTU database",51.5,1.5,5.4,0.3,10.6,"{'A':5,'D':0,'E':0,'B1':0.06,'B2':0.08,'B3':0,'C':129}","{'sodium':6,'potassium':160,'calcium':250,'magnesium':15,'iron':1,'zinc':0,'selenium':7,'phosphor':12}","frida_dtu","756",true
"frida-757","Pistachio nuts, dry roasted with salt","nødder","Pistachio nuts, dry roasted with salt fra Frida DTU database",589.09,21,9.12,45.97,10.3,"{'A':23.33,'D':0,'E':5.2,'B1':0.84,'B2':0.158,'B3':1.43,'Folate':50,'C':2.3}","{'sodium':10,'potassium':1042,'calcium':110,'magnesium':120,'iron':4.2,'zinc':2.3,'selenium':6.75,'phosphor':485}","frida_dtu","757",true
"frida-760","Cherry juice, concentrated, sugar added","andre","Cherry juice, concentrated, sugar added fra Frida DTU database",170.5,0.5,41,0.5,,"{'D':0,'B3':0.2}","{'sodium':24,'calcium':8,'iron':0.1,'zinc':0,'selenium':0}","frida_dtu","760",true
"frida-761","Currant, red, juice, concentrated, sugar added","andre","Currant, red, juice, concentrated, sugar added fra Frida DTU database",170.5,0.5,41,0.5,,"{'E':0,'B3':0.2}","{'sodium':24,'calcium':15,'phosphor':16}","frida_dtu","761",true
"frida-762","Raspberry juice, concentrated, sugar added","frugt","Raspberry juice, concentrated, sugar added fra Frida DTU database",170.5,0.5,41,1,,"{'B3':0}","{'sodium':24}","frida_dtu","762",true
"frida-763","Strawberry juice, concentrated, sugar added","frugt","Strawberry juice, concentrated, sugar added fra Frida DTU database",170.5,0.5,41,0.5,,"{'B3':0.2,'C':9}","{'sodium':24}","frida_dtu","763",true
"frida-764","Beans, green, raw","bælgfrugter","Beans, green, raw fra Frida DTU database",30.15,1.9,5.68,0.23,3,"{'A':17.33,'D':0,'E':0.3,'B1':0.09,'B2':0.11,'B3':0.7,'Folate':39,'C':15}","{'sodium':2,'potassium':237,'calcium':60,'magnesium':17,'iron':1,'zinc':0.39,'selenium':0.3,'phosphor':39}","frida_dtu","764",true
"frida-765","Dill weed, dried","andre","Dill weed, dried fra Frida DTU database",319,20,42.2,4.36,11.93,"{'A':0,'D':0,'B1':0.418,'B2':0.284,'B3':2.81}","{'sodium':208,'potassium':3308,'calcium':1784,'magnesium':451,'iron':48.78,'zinc':3.3,'selenium':0,'phosphor':543}","frida_dtu","765",true
"frida-766","Bread, white, for sausages","kornprodukter","Bread, white, for sausages fra Frida DTU database",253.39,8.69,43.9,3.83,2.9,"{'A':0,'D':0,'E':0.5,'B1':0.166,'B2':0.069,'B3':1,'Folate':38,'C':0}","{'sodium':258,'potassium':136,'calcium':42,'magnesium':18,'iron':1.11,'zinc':0.63,'selenium':2.65,'phosphor':105}","frida_dtu","766",true
"frida-767","Celeriac, celery leaves, raw","andre","Celeriac, celery leaves, raw fra Frida DTU database",34.31,2,4.15,0.32,4,"{'E':2.7,'B2':0.34,'B3':0.25}","{'sodium':80,'calcium':325,'iron':4}","frida_dtu","767",true
"frida-768","Whitefish, raw","fisk","Whitefish, raw fra Frida DTU database",113.4,21.6,,3,,"{'A':8,'D':3,'E':2.7,'B1':0.07,'B2':0.07,'B3':4,'C':0}","{'sodium':49,'potassium':380,'calcium':60,'magnesium':30,'iron':0.5,'zinc':0.54,'selenium':16,'phosphor':290}","frida_dtu","768",true
"frida-769","Lingonberry, raw","frugt","Lingonberry, raw fra Frida DTU database",54.03,0.75,7.13,0.5,2.5,"{'A':3.5,'D':0,'E':1.6,'B1':0.05,'B2':0.04,'B3':0.5,'Folate':0,'C':11}","{'sodium':2,'potassium':89,'calcium':20,'magnesium':9,'iron':0.4,'zinc':0.18,'selenium':0,'phosphor':16}","frida_dtu","769",true
