id,name,category,description,calories,protein,carbs,fat,fiber,source,frida_id,is_active
"frida-1","Strawberry, raw","frugt","Strawberry, raw fra Frida DTU database",38.46,0.66,6.07,0.6,1.49,""frida_dtu"",""1"",true
"frida-2","Apple, raw, all varieties","frugt","Apple, raw, all varieties fra Frida DTU database",55.06,0.27,11.32,0.23,2.21,""frida_dtu"",""2"",true
"frida-3","Banana, raw","frugt","Banana, raw fra Frida DTU database",93.48,1.14,19.71,0.21,1.63,""frida_dtu"",""3"",true
"frida-4","Potato, raw","grøntsager","Potato, raw fra Frida DTU database",77.04,2.03,17.89,0.29,1.44,""frida_dtu"",""4"",true
"frida-6","Milk, whole, konventional (not organic), 3.5 % fat","mejeriprodukter","Milk, whole, konventional (not organic), 3.5 % fat fra Frida DTU database",63.08,3.42,4.6,3.46,,""frida_dtu"",""6"",true
"frida-8","Parsley, raw","andre","Parsley, raw fra Frida DTU database",48.07,3.71,1.23,1.15,4.1,""frida_dtu"",""8"",true
"frida-9","Pear, raw","frugt","Pear, raw fra Frida DTU database",49.22,0.31,10.56,0.07,3.22,""frida_dtu"",""9"",true
"frida-10","Rhubarb, raw","andre","Rhubarb, raw fra Frida DTU database",25.9,0.9,1.86,0.3,3.8,""frida_dtu"",""10"",true
"frida-11","Currant, black, raw","andre","Currant, black, raw fra Frida DTU database",75.01,1.52,9.79,1.33,5.8,""frida_dtu"",""11"",true
"frida-12","Yogurt plain, whole milk","mejeriprodukter","Yogurt plain, whole milk fra Frida DTU database",62.18,3.79,3.63,4,,""frida_dtu"",""12"",true
"frida-13","Celery, raw","andre","Celery, raw fra Frida DTU database",23.34,0.75,1.89,0.17,1.6,""frida_dtu"",""13"",true
"frida-14","Cauliflower, all varieties, raw","andre","Cauliflower, all varieties, raw fra Frida DTU database",27.77,2.43,1.89,0.4,2.19,""frida_dtu"",""14"",true
"frida-17","Broccoli, raw","andre","Broccoli, raw fra Frida DTU database",35.19,3.55,2.07,0.24,3.24,""frida_dtu"",""17"",true
"frida-20","Beans, wax, raw","bælgfrugter","Beans, wax, raw fra Frida DTU database",35,2.1,3.5,0.2,1.8,""frida_dtu"",""20"",true
"frida-21","Lemon, raw","andre","Lemon, raw fra Frida DTU database",44.2,0.5,3.11,1.1,1.2,""frida_dtu"",""21"",true
"frida-22","Dill, raw","andre","Dill, raw fra Frida DTU database",47.8,3.46,4.9,1.12,2.1,""frida_dtu"",""22"",true
"frida-23","Kale, raw","andre","Kale, raw fra Frida DTU database",60.32,5,2.01,1.15,6.2,""frida_dtu"",""23"",true
"frida-24","Carrot, raw","grøntsager","Carrot, raw fra Frida DTU database",36.13,0.69,6.17,,3,""frida_dtu"",""24"",true
"frida-25","Garfish, raw","fisk","Garfish, raw fra Frida DTU database",106.87,19.48,,3.22,,""frida_dtu"",""25"",true
"frida-26","Cabbage, white, raw","grøntsager","Cabbage, white, raw fra Frida DTU database",32,1.23,4.4,0.2,2.26,""frida_dtu"",""26"",true
"frida-27","Rose hip, raw","andre","Rose hip, raw fra Frida DTU database",79.02,0.6,14.14,0.5,6.1,""frida_dtu"",""27"",true
"frida-28","Elderberry, raw","frugt","Elderberry, raw fra Frida DTU database",67.14,0.66,6.52,0.5,6.8,""frida_dtu"",""28"",true
"frida-30","Salmon, Atlantic, wild, raw","fisk","Salmon, Atlantic, wild, raw fra Frida DTU database",158.88,18,,7.46,,""frida_dtu"",""30"",true
"frida-31","Sweetcorn, on-the-cob, raw","andre","Sweetcorn, on-the-cob, raw fra Frida DTU database",90.6,3.7,23.7,1.8,2.8,""frida_dtu"",""31"",true
"frida-32","Milk, buttermilk","mejeriprodukter","Milk, buttermilk fra Frida DTU database",36.08,3.4,3.71,0.5,,""frida_dtu"",""32"",true
"frida-33","Milk, partly skimmed, konventional (not organic), 1.5 % fat","mejeriprodukter","Milk, partly skimmed, konventional (not organic), 1.5 % fat fra Frida DTU database",47.51,3.51,4.71,1.59,,""frida_dtu"",""33"",true
"frida-34","Mackerel, raw","fisk","Mackerel, raw fra Frida DTU database",187.34,17.83,,12.89,,""frida_dtu"",""34"",true
"frida-35","Almond, raw","nødder","Almond, raw fra Frida DTU database",606.4,21.24,6.55,52,0.65,""frida_dtu"",""35"",true
"frida-36","Watermelon, raw","kornprodukter","Watermelon, raw fra Frida DTU database",33.03,0.8,6.5,0.1,0.5,""frida_dtu"",""36"",true
"frida-37","Pepper, sweet, green, raw","grøntsager","Pepper, sweet, green, raw fra Frida DTU database",21.75,0.9,2.59,0.27,1.82,""frida_dtu"",""37"",true
"frida-38","Pepper, sweet, red, raw","grøntsager","Pepper, sweet, red, raw fra Frida DTU database",31.46,0.92,5.24,0.1,1.71,""frida_dtu"",""38"",true
"frida-39","Radish, raw","andre","Radish, raw fra Frida DTU database",11.5,0.8,1.26,0.1,1.3,""frida_dtu"",""39"",true
"frida-40","Currant, red, raw","andre","Currant, red, raw fra Frida DTU database",63.24,1.32,7.06,1.7,4.2,""frida_dtu"",""40"",true
"frida-41","Brussels sprouts, raw","andre","Brussels sprouts, raw fra Frida DTU database",53.09,4.54,4.16,0.52,4.1,""frida_dtu"",""41"",true
"frida-43","Beet, red, raw","andre","Beet, red, raw fra Frida DTU database",52.04,1.69,9.73,0.25,2.3,""frida_dtu"",""43"",true
"frida-44","Cabbage, red, raw","grøntsager","Cabbage, red, raw fra Frida DTU database",31.58,1.51,3.88,0.2,2,""frida_dtu"",""44"",true
"frida-45","Plaice, raw","andre","Plaice, raw fra Frida DTU database",85.4,17.3,,1.8,,""frida_dtu"",""45"",true
"frida-46","Celeriac, celery root, raw","andre","Celeriac, celery root, raw fra Frida DTU database",34.31,1.76,2.07,0.32,3.9,""frida_dtu"",""46"",true
"frida-47","Herring, pickled, canned","andre","Herring, pickled, canned fra Frida DTU database",271.55,11.93,20.9,16.03,,""frida_dtu"",""47"",true
"frida-48","Herring, raw","andre","Herring, raw fra Frida DTU database",189.79,16.2,,13.89,,""frida_dtu"",""48"",true
"frida-49","Cabbage, pointed, raw","grøntsager","Cabbage, pointed, raw fra Frida DTU database",26.64,2.05,0.83,0.28,1.9,""frida_dtu"",""49"",true
"frida-50","Spinach, raw","grøntsager","Spinach, raw fra Frida DTU database",24.44,2.63,0.22,0.57,1.9,""frida_dtu"",""50"",true
"frida-51","Gooseberry, raw","frugt","Gooseberry, raw fra Frida DTU database",44.11,0.9,3,0.55,3.2,""frida_dtu"",""51"",true
"frida-52","Tomato, ripe, raw, origin unknown","grøntsager","Tomato, ripe, raw, origin unknown fra Frida DTU database",20.66,0.78,3.17,0.15,1.44,""frida_dtu"",""52"",true
"frida-54","Grape, raw","frugt","Grape, raw fra Frida DTU database",67.22,0.62,15.31,,0.9,""frida_dtu"",""54"",true
"frida-55","Peas, green, raw","bælgfrugter","Peas, green, raw fra Frida DTU database",69.99,5.94,6.5,0.7,5.9,""frida_dtu"",""55"",true
