∆food_id,parameter_id,parameter_name_da,parameter_name_en,sort_key,value,min_value,max_value,median_value,source_id
1,137,Energi (kJ),Energy (kJ),1010,161.95358974359,,,,1003
1,316,"Energi, deklaration (kJ)","Energy, labelling (kJ)",1020,148.426875,,,,1003
1,356,Energi (kcal),Energy (kcal),1030,38.4579487179487,,,,1003
1,359,"Energi, deklaration (kcal)","Energy, labelling (kcal)",1040,35.2751923076923,,,,1003
1,218,Protein,Protein,1110,0.659855769230769,0.5,1,,1073
1,421,Protein fra Aminosyrer,Protein from Amino Acids,1120,0.4731281698451,,,,1003
1,317,"Protein, deklaration","Protein, labeling",1130,0.659855769230769,0.5,1,,1073
1,170,Kulhydrat difference,Carbohydrate by difference,1210,8.34732371794872,,,,1003
1,172,Tilgængelig kulhydrat,Available carbohydrates,1220,6.8619391025641,,,,1003
1,318,"Tilgængelig kulhydrat, deklaration","Available carbohydrate, labelling",1230,6.06625,,,,1003
1,168,Kostfibre,Dietary fibre,1240,1.48538461538462,1.24,2.13,,1305
1,141,Fedt,Fat,1310,0.6,0.4,0.8,,1073
1,19,Alkohol,Alcohol,1410,,,,,1655
1,327,Salt deklaration,Salt labelling,1510,0.0012695,,,,1003
1,33,Aske,Ash,1520,0.406153846153846,0.29,0.6,,1073
1,265,Tørstof,Dry matter,1610,10.0133333333333,7.2,13,,1878
1,268,Vand,Water,1620,89.9866666666667,87,92.8,,1878
1,12,A-vitamin,Vitamin A,2010,6.66666666666667,,,,1003
1,225,Retinol,Retinol,2020,,,,,1655
1,303,beta-Caroten,beta-Carotene,2030,40,26,60,,1020
1,126,D-vitamin,Vitamin D,2110,,,,,1003
1,128,D3-vitamin,Vitamin D3,2120,,,,,1344
1,135,E-vitamin,Vitamin E,2210,0.414,,,,1003
1,276,alfa-Tokoferol,alpha-Tocopherol,2220,0.414,0.35,0.48,,1034
1,442,K-vitamin,Vitamin K,2300,20,,,,1003
1,164,K1-vitamin,Vitamin K1,2301,20,,,,1006
1,37,Thiamin (B1-vitamin),Thiamin (Vitamin B1),2410,0.0145384615384615,0.014,0.03,,1305
1,39,Riboflavin (B2-vitamin),Riboflavin (Vitamin B2),2510,0.0110769230769231,0.014,0.022,,1305
1,203,Niacinækvivalent,Niacin equivalent,2610,0.57125,,,,1003
1,294,Niacin,Niacin,2620,0.434,0.33,0.61,0.415,2179
1,40,B6-vitamin,Vitamin B6,2710,0.0454615384615385,0.026,0.07,,1305
1,210,Pantotensyre,Pantothenic acid,2720,0.1293,0.097,0.17,0.1295,2179
1,42,Biotin,Biotin,2730,0.701428571428571,0.35,1.21,0.49,2179
1,143,Folat,Folate,2810,117,86,133,,1305
1,145,Frit folat,"Folate, free",2820,15,5.3,28.8,,1374
1,38,B12-vitamin,Vitamin B12,2830,,,,,1352
1,47,C-vitamin,Vitamin C,2910,66.85,,,,1003
1,175,Ascorbinsyre,Ascorbic acid,2920,64.8,45,94,63.5,2179
