FoodID,FødevareNavn,FoodName,ParameterID,ParameterNavn,ParameterName,SortKey,ResVal,Min,Max,Median,NumberOfDeterminations,Source,SourceFood
"1","Jordbær, rå","Strawberry, raw","137","Energi (kJ)","Energy (kJ)","1010","161.95358974359","NULL","NULL","NULL","NULL","1003","NULL"
"1","Jordbær, rå","Strawberry, raw","316","Energi, deklaration (kJ)","Energy, labelling (kJ)","1020","148.426875","NULL","NULL","NULL","NULL","1003","NULL"
"1","Jordbær, rå","Strawberry, raw","356","Energi (kcal)","Energy (kcal)","1030","38.4579487179487","NULL","NULL","NULL","NULL","1003","NULL"
"1","Jordbær, rå","Strawberry, raw","359","Energi, deklaration (kcal)","Energy, labelling (kcal)","1040","35.2751923076923","NULL","NULL","NULL","NULL","1003","NULL"
"1","Jordbær, rå","Strawberry, raw","218","Protein","Protein","1110","0.659855769230769","0.5","1","NULL","26","1073, 1825, 2179","NULL"
"1","Jordbær, rå","Strawberry, raw","421","Protein fra Aminosyrer","Protein from Amino Acids","1120","0.4731281698451","NULL","NULL","NULL","NULL","1003","NULL"
"1","Jordbær, rå","Strawberry, raw","317","Protein, deklaration","Protein, labeling","1130","0.659855769230769","0.5","1","NULL","26","1073, 1825, 2179","NULL"
"1","Jordbær, rå","Strawberry, raw","170","Kulhydrat difference","Carbohydrate by difference","1210","8.34732371794872","NULL","NULL","NULL","NULL","1003","NULL"
"1","Jordbær, rå","Strawberry, raw","172","Tilgængelig kulhydrat","Available carbohydrates","1220","6.8619391025641","NULL","NULL","NULL","NULL","1003","NULL"
"1","Jordbær, rå","Strawberry, raw","318","Tilgængelig kulhydrat, deklaration","Available carbohydrate, labelling","1230","6.06625","NULL","NULL","NULL","NULL","1003","NULL"
"1","Jordbær, rå","Strawberry, raw","168","Kostfibre","Dietary fibre","1240","1.48538461538462","1.24","2.13","NULL","26","1305, 2179","NULL"
"1","Jordbær, rå","Strawberry, raw","141","Fedt","Fat","1310","0.6","0.4","0.8","NULL","5","1073, 1825","NULL"
"1","Jordbær, rå","Strawberry, raw","19","Alkohol","Alcohol","1410","0","NULL","NULL","NULL","0","1655","NULL"
"1","Jordbær, rå","Strawberry, raw","327","Salt deklaration","Salt labelling","1510","0.0012695","NULL","NULL","NULL","10","1003","NULL"
"1","Jordbær, rå","Strawberry, raw","33","Aske","Ash","1520","0.406153846153846","0.29","0.6","NULL","26","1073, 1825, 2179","NULL"
"1","Jordbær, rå","Strawberry, raw","265","Tørstof","Dry matter","1610","10.0133333333333","7.2","13","NULL","48","1878, 1073, 1305, 1825, 2179","NULL"
